"Código técnico";"Formulario REM";Sección;Columna;"Nombre funcional de la variable";"Tipo de regla";Descripción;"Lógica resumida";"Fórmula Excel (técnico)";"Rango de filas";"Nivel de importancia";Estado;Fuente;"Observación para revisión";"Validado por Estadística";"Comentario Estadística"
a02_a_ag_sum_equals;A02;A;AG;"Pueblos Originarios";"Suma igual al Total";"Valida que la suma de las columnas AG sea igual al total de la columna AG (Filas 12–17). Variable: Pueblos Originarios. De lo contrario, se marca como observación.";"Suma(AG) = Columna AG";;"Filas 12–17";Error;Activa;"Estructura Excel";;;
a02_a_ah_sum_equals;A02;A;AH;Migrantes;"Suma igual al Total";"Valida que la suma de las columnas AH sea igual al total de la columna AH (Filas 12–17). Variable: Migrantes. De lo contrario, se marca como observación.";"Suma(AH) = Columna AH";;"Filas 12–17";Error;Activa;"Estructura Excel";;;
a02_b_ag_sum_equals;A02;B;AG;"Pueblos Originarios";"Suma igual al Total";"Valida que la suma de las columnas AG sea igual al total de la columna AG (Filas 22–25). Variable: Pueblos Originarios. De lo contrario, se marca como observación.";"Suma(AG) = Columna AG";;"Filas 22–25";Error;Activa;"Estructura Excel";;;
a02_b_ah_sum_equals;A02;B;AH;Migrantes;"Suma igual al Total";"Valida que la suma de las columnas AH sea igual al total de la columna AH (Filas 22–25). Variable: Migrantes. De lo contrario, se marca como observación.";"Suma(AH) = Columna AH";;"Filas 22–25";Error;Activa;"Estructura Excel";;;
a03_a.4_i_sum_equals;A03;A.4;I;"Pueblos Originarios";"Suma igual al Total";"Valida que la suma de las columnas I sea igual al total de la columna I (Filas 55–57). Variable: Pueblos Originarios. De lo contrario, se marca como observación.";"Suma(I) = Columna I";;"Filas 55–57";Error;Activa;"Estructura Excel";;;
a03_a.4_j_sum_equals;A03;A.4;J;Migrantes;"Suma igual al Total";"Valida que la suma de las columnas J sea igual al total de la columna J (Filas 55–57). Variable: Migrantes. De lo contrario, se marca como observación.";"Suma(J) = Columna J";;"Filas 55–57";Error;Activa;"Estructura Excel";;;
a03_a.5_c_sum_equals;A03;A.5;C;TOTAL;"Suma igual al Total";"Valida que la suma de las columnas D + E + F + G + H sea igual al total de la columna C (Fila 61). Variable: TOTAL. De lo contrario, se marca como observación.";"Suma(D + E + F + G + H) = Columna C";;"Fila 61";Error;Activa;"Estructura Excel";;;
a03_b.1_b_sum_equals;A03;B.1;B;TOTAL;"Suma igual al Total";"Valida que la suma de las columnas B sea igual al total de la columna B (Filas 80–83). Variable: TOTAL. De lo contrario, se marca como observación.";"Suma(B) = Columna B";;"Filas 80–83";Error;Activa;"Estructura Excel";;;
a03_d.2_ab_sum_equals;A03;D.2;AB;"Pueblos originarios";"Suma igual al Total";"Valida que la suma de las columnas AB sea igual al total de la columna AB (Filas 122–151). Variable: Pueblos originarios. De lo contrario, se marca como observación.";"Suma(AB) = Columna AB";;"Filas 122–151";Error;Activa;"Estructura Excel";;;
a03_d.2_ac_sum_equals;A03;D.2;AC;Migrantes;"Suma igual al Total";"Valida que la suma de las columnas AC sea igual al total de la columna AC (Filas 122–151). Variable: Migrantes. De lo contrario, se marca como observación.";"Suma(AC) = Columna AC";;"Filas 122–151";Error;Activa;"Estructura Excel";;;
a03_d.7_ah_sum_equals;A03;D.7;AH;"Pueblos Originarios";"Suma igual al Total";"Valida que la suma de las columnas AH sea igual al total de la columna AH. Variable: Pueblos Originarios. De lo contrario, se marca como observación.";"Suma(AH) = Columna AH";;—;Error;Activa;"Estructura Excel";;;
a03_f.1_c_sum_equals;A03;F.1;C;Hombres;"Suma igual al Total";"Valida que la suma de las columnas C sea igual al total de la columna C (Filas 230–231). Variable: Hombres. De lo contrario, se marca como observación.";"Suma(C) = Columna C";;"Filas 230–231";Error;Activa;"Estructura Excel";;;
a03_f.1_d_sum_equals;A03;F.1;D;Mujeres;"Suma igual al Total";"Valida que la suma de las columnas D sea igual al total de la columna D (Filas 230–231). Variable: Mujeres. De lo contrario, se marca como observación.";"Suma(D) = Columna D";;"Filas 230–231";Error;Activa;"Estructura Excel";;;
a03_f.1_e_sum_equals;A03;F.1;E;"Pueblos Originarios";"Suma igual al Total";"Valida que la suma de las columnas E sea igual al total de la columna E (Filas 230–231). Variable: Pueblos Originarios. De lo contrario, se marca como observación.";"Suma(E) = Columna E";;"Filas 230–231";Error;Activa;"Estructura Excel";;;
a03_f.1_f_sum_equals;A03;F.1;F;Migrantes;"Suma igual al Total";"Valida que la suma de las columnas F sea igual al total de la columna F (Filas 230–231). Variable: Migrantes. De lo contrario, se marca como observación.";"Suma(F) = Columna F";;"Filas 230–231";Error;Activa;"Estructura Excel";;;
a04_a_ao_sum_equals;A04;A;AO;"Pueblos Originarios";"Suma igual al Total";"Valida que la suma de las columnas AO sea igual al total de la columna AO (Filas 13–26). Variable: Pueblos Originarios. De lo contrario, se marca como observación.";"Suma(AO) = Columna AO";;"Filas 13–26";Error;Activa;"Estructura Excel";;;
a04_a_ap_sum_equals;A04;A;AP;Migrantes;"Suma igual al Total";"Valida que la suma de las columnas AP sea igual al total de la columna AP (Filas 13–26). Variable: Migrantes. De lo contrario, se marca como observación.";"Suma(AP) = Columna AP";;"Filas 13–26";Error;Activa;"Estructura Excel";;;
a04_a_aq_sum_equals;A04;A;AQ;"SENAME/ Servicio Nacional de Reinserción social Juvenil";"Suma igual al Total";"Valida que la suma de las columnas AQ sea igual al total de la columna AQ (Filas 13–26). Variable: SENAME/ Servicio Nacional de Reinserción social Juvenil. De lo contrario, se marca como observación.";"Suma(AQ) = Columna AQ";;"Filas 13–26";Error;Activa;"Estructura Excel";;;
a04_a_ar_sum_equals;A04;A;AR;"Servicio Nacional Protección Especializada a la Niñez y Adolescencia";"Suma igual al Total";"Valida que la suma de las columnas AR sea igual al total de la columna AR (Filas 13–26). Variable: Servicio Nacional Protección Especializada a la Niñez y Adolescencia. De lo contrario, se marca como observación.";"Suma(AR) = Columna AR";;"Filas 13–26";Error;Activa;"Estructura Excel";;;
a04_a_as_sum_equals;A04;A;AS;"Por Campaña de Invierno";"Suma igual al Total";"Valida que la suma de las columnas AS sea igual al total de la columna AS (Filas 13–26). Variable: Por Campaña de Invierno. De lo contrario, se marca como observación.";"Suma(AS) = Columna AS";;"Filas 13–26";Error;Activa;"Estructura Excel";;;
a04_c_b_sum_equals;A04;C;B;"Ambos sexos";"Suma igual al Total";"Valida que la suma de las columnas C + D sea igual al total de la columna B (Fila 53). Variable: Ambos sexos. De lo contrario, se marca como observación.";"Suma(C + D) = Columna B";;"Fila 53";Error;Activa;"Estructura Excel";;;
a04_c_c_sum_equals;A04;C;C;Hombres;"Suma igual al Total";"Valida que la suma de las columnas E + G + I + K sea igual al total de la columna C. Variable: Hombres. De lo contrario, se marca como observación.";"Suma(E + G + I + K) = Columna C";;—;Error;Activa;"Estructura Excel";;;
a04_c_d_sum_equals;A04;C;D;Mujeres;"Suma igual al Total";"Valida que la suma de las columnas F + H + J + L sea igual al total de la columna D. Variable: Mujeres. De lo contrario, se marca como observación.";"Suma(F + H + J + L) = Columna D";;—;Error;Activa;"Estructura Excel";;;
a04_c_m_sum_equals;A04;C;M;"Ambos sexos";"Suma igual al Total";"Valida que la suma de las columnas N + O sea igual al total de la columna M (Fila 53). Variable: Ambos sexos. De lo contrario, se marca como observación.";"Suma(N + O) = Columna M";;"Fila 53";Error;Activa;"Estructura Excel";;;
a04_c_n_sum_equals;A04;C;N;Hombres;"Suma igual al Total";"Valida que la suma de las columnas P + R + T + V sea igual al total de la columna N. Variable: Hombres. De lo contrario, se marca como observación.";"Suma(P + R + T + V) = Columna N";;—;Error;Activa;"Estructura Excel";;;
a04_c_o_sum_equals;A04;C;O;Mujeres;"Suma igual al Total";"Valida que la suma de las columnas Q + S + U + W sea igual al total de la columna O. Variable: Mujeres. De lo contrario, se marca como observación.";"Suma(Q + S + U + W) = Columna O";;—;Error;Activa;"Estructura Excel";;;
a04_d_w_sum_equals;A04;D;W;"Pueblos Originarios";"Suma igual al Total";"Valida que la suma de las columnas W sea igual al total de la columna W (Filas 60–61). Variable: Pueblos Originarios. De lo contrario, se marca como observación.";"Suma(W) = Columna W";;"Filas 60–61";Error;Activa;"Estructura Excel";;;
a04_d_x_sum_equals;A04;D;X;Migrantes;"Suma igual al Total";"Valida que la suma de las columnas X sea igual al total de la columna X (Filas 60–61). Variable: Migrantes. De lo contrario, se marca como observación.";"Suma(X) = Columna X";;"Filas 60–61";Error;Activa;"Estructura Excel";;;
a04_h.2_b_sum_equals;A04;H.2;B;TOTAL;"Suma igual al Total";"Valida que la suma de las columnas C + D + E sea igual al total de la columna B (Fila 101). Variable: TOTAL. De lo contrario, se marca como observación.";"Suma(C + D + E) = Columna B";;"Fila 101";Error;Activa;"Estructura Excel";;;
a04_i.1_k_sum_equals;A04;I.1;K;"Recetas despachadas con oportunidad (Entregado el mismo día)";"Suma igual al Total";"Valida que la suma de las columnas K sea igual al total de la columna K (Filas 114–116). Variable: Recetas despachadas con oportunidad (Entregado el mismo día). De lo contrario, se marca como observación.";"Suma(K) = Columna K";;"Filas 114–116";Error;Activa;"Estructura Excel";;;
a04_l_c_sum_equals;A04;L;C;TOTAL;"Suma igual al Total";"Valida que la suma de las columnas D + E + F + G + H sea igual al total de la columna C (Fila 141). Variable: TOTAL. De lo contrario, se marca como observación.";"Suma(D + E + F + G + H) = Columna C";;"Fila 141";Error;Activa;"Estructura Excel";;;
a04_m_c_sum_equals;A04;M;C;"Ambos Sexos";"Suma igual al Total";"Valida que la suma de las columnas D + E sea igual al total de la columna C (Fila 154). Variable: Ambos Sexos. De lo contrario, se marca como observación.";"Suma(D + E) = Columna C";;"Fila 154";Error;Activa;"Estructura Excel";;;
a04_m_d_sum_equals;A04;M;D;Hombres;"Suma igual al Total";"Valida que la suma de las columnas F + H + J + L + N + P + R + T + V + X + Z + AB + AD + AF + AH + AJ + AL sea igual al total de la columna D. Variable: Hombres. De lo contrario, se marca como observación.";"Suma(F + H + J + L + N + P + R + T + V + X + Z + AB + AD + AF + AH + AJ + AL) = Columna D";;—;Error;Activa;"Estructura Excel";;;
a04_m_e_sum_equals;A04;M;E;Mujeres;"Suma igual al Total";"Valida que la suma de las columnas G + I + K + M + O + Q + S + U + W + Y + AA + AC + AE + AG + AI + AK + AM sea igual al total de la columna E. Variable: Mujeres. De lo contrario, se marca como observación.";"Suma(G + I + K + M + O + Q + S + U + W + Y + AA + AC + AE + AG + AI + AK + AM) = Columna E";;—;Error;Activa;"Estructura Excel";;;
a04_o_b_sum_equals;A04;O;B;"Total de atenciones niños(as) en modalidades de apoyo";"Suma igual al Total";"Valida que la suma de las columnas C + L + U sea igual al total de la columna B. Variable: Total de atenciones niños(as) en modalidades de apoyo. De lo contrario, se marca como observación.";"Suma(C + L + U) = Columna B";;—;Error;Activa;"Estructura Excel";;;
a04_p_b_sum_equals;A04;P;B;TOTAL;"Suma igual al Total";"Valida que la suma de las columnas C + D sea igual al total de la columna B (Fila 186). Variable: TOTAL. De lo contrario, se marca como observación.";"Suma(C + D) = Columna B";;"Fila 186";Error;Activa;"Estructura Excel";;;
a04_q_b_sum_equals;A04;Q;B;TOTAL;"Suma igual al Total";"Valida que la suma de las columnas C + D + E sea igual al total de la columna B (Fila 193). Variable: TOTAL. De lo contrario, se marca como observación.";"Suma(C + D + E) = Columna B";;"Fila 193";Error;Activa;"Estructura Excel";;;
a04_r_b_sum_equals;A04;R;B;TOTAL;"Suma igual al Total";"Valida que la suma de las columnas C + D + E sea igual al total de la columna B (Fila 202). Variable: TOTAL. De lo contrario, se marca como observación.";"Suma(C + D + E) = Columna B";;"Fila 202";Error;Activa;"Estructura Excel";;;
a04_s_c_sum_equals;A04;S;C;TOTAL;"Suma igual al Total";"Valida que la suma de las columnas D + E + F sea igual al total de la columna C (Fila 210). Variable: TOTAL. De lo contrario, se marca como observación.";"Suma(D + E + F) = Columna C";;"Fila 210";Error;Activa;"Estructura Excel";;;
a04_t_b_sum_equals;A04;T;B;TOTAL;"Suma igual al Total";"Valida que la suma de las columnas C + D + E sea igual al total de la columna B (Fila 217). Variable: TOTAL. De lo contrario, se marca como observación.";"Suma(C + D + E) = Columna B";;"Fila 217";Error;Activa;"Estructura Excel";;;
a05_a_c_sum_equals;A05;A;C;TOTAL;"Suma igual al Total";"Valida que la suma de las columnas D + E + F + G + H + I + J + K + L + M + N sea igual al total de la columna C (Fila 11). Variable: TOTAL. De lo contrario, se marca como observación.";"Suma(D + E + F + G + H + I + J + K + L + M + N) = Columna C";;"Fila 11";Error;Activa;"Estructura Excel";;;
a05_c_aa_sum_equals;A05;C;AA;"Personas con Discpacidad";"Suma igual al Total";"Valida que la suma de las columnas AA sea igual al total de la columna AA (Filas 36–49). Variable: Personas con Discpacidad. De lo contrario, se marca como observación.";"Suma(AA) = Columna AA";;"Filas 36–49";Error;Activa;"Estructura Excel";;;
a05_c_c_sum_equals;A05;C;C;TOTAL;"Suma igual al Total";"Valida que la suma de las columnas D + E + F + G + H + I + J + K + L + M + N + O + P sea igual al total de la columna C (Fila 35). Variable: TOTAL. De lo contrario, se marca como observación.";"Suma(D + E + F + G + H + I + J + K + L + M + N + O + P) = Columna C";;"Fila 35";Error;Activa;"Estructura Excel";;;
a05_c_q_sum_equals;A05;C;Q;"Espacios Amigables/ Adolescentes";"Suma igual al Total";"Valida que la suma de las columnas Q sea igual al total de la columna Q (Filas 36–49). Variable: Espacios Amigables/ Adolescentes. De lo contrario, se marca como observación.";"Suma(Q) = Columna Q";;"Filas 36–49";Error;Activa;"Estructura Excel";;;
a05_c_r_sum_equals;A05;C;R;"Ingreso por cambio de Método Anticonceptivo";"Suma igual al Total";"Valida que la suma de las columnas R sea igual al total de la columna R (Filas 36–49). Variable: Ingreso por cambio de Método Anticonceptivo. De lo contrario, se marca como observación.";"Suma(R) = Columna R";;"Filas 36–49";Error;Activa;"Estructura Excel";;;
a05_c_s_sum_equals;A05;C;S;"Pueblos Originarios";"Suma igual al Total";"Valida que la suma de las columnas S sea igual al total de la columna S (Filas 36–49). Variable: Pueblos Originarios. De lo contrario, se marca como observación.";"Suma(S) = Columna S";;"Filas 36–49";Error;Activa;"Estructura Excel";;;
a05_c_v_sum_equals;A05;C;V;"Inicio precoz de MAC nivel secundario y terciario";"Suma igual al Total";"Valida que la suma de las columnas V sea igual al total de la columna V (Filas 36–49). Variable: Inicio precoz de MAC nivel secundario y terciario. De lo contrario, se marca como observación.";"Suma(V) = Columna V";;"Filas 36–49";Error;Activa;"Estructura Excel";;;
a05_c_w_sum_equals;A05;C;W;"Ingreso a Anticoncepción post aborto";"Suma igual al Total";"Valida que la suma de las columnas W sea igual al total de la columna W (Filas 36–49). Variable: Ingreso a Anticoncepción post aborto. De lo contrario, se marca como observación.";"Suma(W) = Columna W";;"Filas 36–49";Error;Activa;"Estructura Excel";;;
a05_c1_c_sum_equals;A05;C1;C;TOTAL;"Suma igual al Total";"Valida que la suma de las columnas D + E + F + G + H + I + J + K + L + M + N + O + P sea igual al total de la columna C (Fila 55). Variable: TOTAL. De lo contrario, se marca como observación.";"Suma(D + E + F + G + H + I + J + K + L + M + N + O + P) = Columna C";;"Fila 55";Error;Activa;"Estructura Excel";;;
a05_c2_c_sum_equals;A05;C2;C;TOTAL;"Suma igual al Total";"Valida que la suma de las columnas D + E + F + G + H + I + J + K + L + M + N + O + P sea igual al total de la columna C (Fila 63). Variable: TOTAL. De lo contrario, se marca como observación.";"Suma(D + E + F + G + H + I + J + K + L + M + N + O + P) = Columna C";;"Fila 63";Error;Activa;"Estructura Excel";;;
a05_c2_q_sum_equals;A05;C2;Q;"Pueblos Originarios";"Suma igual al Total";"Valida que la suma de las columnas Q sea igual al total de la columna Q (Filas 64–76). Variable: Pueblos Originarios. De lo contrario, se marca como observación.";"Suma(Q) = Columna Q";;"Filas 64–76";Error;Activa;"Estructura Excel";;;
a05_c2_r_sum_equals;A05;C2;R;Migrantes;"Suma igual al Total";"Valida que la suma de las columnas R sea igual al total de la columna R (Filas 64–76). Variable: Migrantes. De lo contrario, se marca como observación.";"Suma(R) = Columna R";;"Filas 64–76";Error;Activa;"Estructura Excel";;;
a05_e_c_sum_equals;A05;E;C;TOTAL;"Suma igual al Total";"Valida que la suma de las columnas D + E sea igual al total de la columna C (Fila 89). Variable: TOTAL. De lo contrario, se marca como observación.";"Suma(D + E) = Columna C";;"Fila 89";Error;Activa;"Estructura Excel";;;
a05_k_n_sum_equals;A05;K;N;"Pueblos Originarios";"Suma igual al Total";"Valida que la suma de las columnas N sea igual al total de la columna N (Filas 154–156). Variable: Pueblos Originarios. De lo contrario, se marca como observación.";"Suma(N) = Columna N";;"Filas 154–156";Error;Activa;"Estructura Excel";;;
a05_k_o_sum_equals;A05;K;O;Migrantes;"Suma igual al Total";"Valida que la suma de las columnas O sea igual al total de la columna O (Filas 154–156). Variable: Migrantes. De lo contrario, se marca como observación.";"Suma(O) = Columna O";;"Filas 154–156";Error;Activa;"Estructura Excel";;;
a05_l_q_sum_equals;A05;L;Q;"Pueblos Originarios";"Suma igual al Total";"Valida que la suma de las columnas Q sea igual al total de la columna Q (Filas 167–169). Variable: Pueblos Originarios. De lo contrario, se marca como observación.";"Suma(Q) = Columna Q";;"Filas 167–169";Error;Activa;"Estructura Excel";;;
a05_l_r_sum_equals;A05;L;R;Migrantes;"Suma igual al Total";"Valida que la suma de las columnas R sea igual al total de la columna R (Filas 167–169). Variable: Migrantes. De lo contrario, se marca como observación.";"Suma(R) = Columna R";;"Filas 167–169";Error;Activa;"Estructura Excel";;;
a05_m_p_sum_equals;A05;M;P;"Pueblos Originarios";"Suma igual al Total";"Valida que la suma de las columnas P sea igual al total de la columna P (Filas 180–182). Variable: Pueblos Originarios. De lo contrario, se marca como observación.";"Suma(P) = Columna P";;"Filas 180–182";Error;Activa;"Estructura Excel";;;
a05_m_q_sum_equals;A05;M;Q;Migrantes;"Suma igual al Total";"Valida que la suma de las columnas Q sea igual al total de la columna Q (Filas 180–182). Variable: Migrantes. De lo contrario, se marca como observación.";"Suma(Q) = Columna Q";;"Filas 180–182";Error;Activa;"Estructura Excel";;;
a05_q_as_sum_equals;A05;Q;AS;"Pueblos Originarios";"Suma igual al Total";"Valida que la suma de las columnas AS sea igual al total de la columna AS (Filas 307–324). Variable: Pueblos Originarios. De lo contrario, se marca como observación.";"Suma(AS) = Columna AS";;"Filas 307–324";Error;Activa;"Estructura Excel";;;
a05_q_at_sum_equals;A05;Q;AT;Migrantes;"Suma igual al Total";"Valida que la suma de las columnas AT sea igual al total de la columna AT (Filas 307–324). Variable: Migrantes. De lo contrario, se marca como observación.";"Suma(AT) = Columna AT";;"Filas 307–324";Error;Activa;"Estructura Excel";;;
a05_q_au_sum_equals;A05;Q;AU;"SENAME/ Servicio Nacional de Reinserción social Juvenil";"Suma igual al Total";"Valida que la suma de las columnas AU sea igual al total de la columna AU (Filas 307–324). Variable: SENAME/ Servicio Nacional de Reinserción social Juvenil. De lo contrario, se marca como observación.";"Suma(AU) = Columna AU";;"Filas 307–324";Error;Activa;"Estructura Excel";;;
a05_q_av_sum_equals;A05;Q;AV;"Servicio Nacional Protección Especializada a la Niñez y Adolescencia";"Suma igual al Total";"Valida que la suma de las columnas AV sea igual al total de la columna AV (Filas 307–324). Variable: Servicio Nacional Protección Especializada a la Niñez y Adolescencia. De lo contrario, se marca como observación.";"Suma(AV) = Columna AV";;"Filas 307–324";Error;Activa;"Estructura Excel";;;
a05_w_b_sum_equals;A05;W;B;TOTAL;"Suma igual al Total";"Valida que la suma de las columnas C + D + E + F + G + H sea igual al total de la columna B (Fila 394). Variable: TOTAL. De lo contrario, se marca como observación.";"Suma(C + D + E + F + G + H) = Columna B";;"Fila 394";Error;Activa;"Estructura Excel";;;
a05_w_k_sum_equals;A05;W;K;"SENAME/ Servicio Nacional de Reinserción social Juvenil";"Suma igual al Total";"Valida que la suma de las columnas K sea igual al total de la columna K (Filas 396–398). Variable: SENAME/ Servicio Nacional de Reinserción social Juvenil. De lo contrario, se marca como observación.";"Suma(K) = Columna K";;"Filas 396–398";Error;Activa;"Estructura Excel";;;
a05_w_l_sum_equals;A05;W;L;"Servicio Nacional Protección Especializada a la Niñez y Adolescencia";"Suma igual al Total";"Valida que la suma de las columnas L sea igual al total de la columna L (Filas 396–398). Variable: Servicio Nacional Protección Especializada a la Niñez y Adolescencia. De lo contrario, se marca como observación.";"Suma(L) = Columna L";;"Filas 396–398";Error;Activa;"Estructura Excel";;;
